Etiquetas de fila;Cuenta de esco_sim
Creativity and innovation;1
Credit;1
Credit Analysis;1
Credit Score;2
Crisis;2
Crisis Communication;2
Cross-Cultural Communication;8
Css Code;1
Cultural Analysis;1
cultural and religious considerations;1
Cultural Learning;1
Culture;14
Culture organisationnelle;2
Curl;1
Curriculum Design;1
curriculum differentiation strategies;1
Customer analysis;2
Customer Analytics;2
Customer churn;1
Customer Development;1
Customer Experience (CX) Design;1
Customer loyalty;1
Customer Psychology;1
Customer Success;3
Customer Support;1
Customer Value Proposition (CVP) Development;1
Customs compliance/ CAROTAR compliance;1
Customs/ SVB compliance;1
Cybercrime;1
Cybersécurité;2
cybersecurity analyst;1
cybersecurity consultant;1
Cybersecurity Governance;1
Cybersecurity performance measurement;1
Cybersecurity planning;2
cybersecurity program elements;1
Cybersecurity Regulation;1
Cyber-Security Regulation;2
Cybersecurity Risk Management;2
Cybersecurity Staffing;1
Cyberwarfare;1
Data Analysis Interview;1
Data analysis tools;1
Data Analytics on AWS;1
data and databases;1
Data Architecture;2
Data Calculations;1
Data collection and analysis;2
Data collections;1
Data Concepts;1
Data Documentation;1
Data Generating Process;1
Data Management;44
Data Management Plan;1
Data Migration;1
Data Mining for Clustering and Association;1
Data Mining for Prediction and Explanation;1
data mining pipeline;1
data mining project design and development;1
data mining project formulation;1
data mining project process analysis and improvement;1
data mining project summary and presentation;1
Data Pipelines;5
data querying;1
Data Reporting;3
Data Science;70
Data Store;3
Data Strategy;1
Data Visualization Software;2
Data visualization tools;1
Database (DBMS);28
Database Architecture;1
Database Servers;1
Data-Driven Decision Making;4
Data-driven decisions;1
Dbscan;1
Decision Analysis;2
Decision Tree;9
Decision-Making;38
Defining Systems;1
Demand;3
Demand Planning;1
Demand Planning and Forecasting;1
demand prediction;1
Demand Shaping;1
Democracy;1
Dental Healthcare Organization Operations;4
Dental Technologies;1
Dentures;1
describing data;1
Descriptive Statistics;1
Desenvolvimento da estratégia de marketing;1
Design a web application;1
design alternative payment models;1
Design and lead innovation initiatives;1
Design And Product;1
Design Frameworks;1
Design Pattern;1
Design Reports;1
Design Reviews;1
Design Visioning;1
designing and redesigning energy systems to put justice at the center;1
Designing automation blueprint;1
Determine when a taxpayer is subject to the jurisdiction of a taxing state.;1
Determine your leadership style;1
Develop team culture;1
Developing a Simple Application;1
Developing Financial Models;1
development;1
Devise a customized plan for optimizing your eating patterns.;1
Diagnostic Evaluation;1
Diet and Exercise Alignment;1
Dietary Interventions;1
Diets;3
differentiate between different ways of teaching morality;1
Digital Branding;1
Digital Circuit Design;1
Digital Design;4
Digital Education;1
Digital Health;2
Digital marketing KPIs;1
Digital Marketing Strategy Planning;1
Digital Media;8
Digital Media Channels;1
Digital Strategy;8
Digital transformation;12
Directional Drilling;1
Diretórios do LDAP;1
Disability Inclusion;1
Discounted Cash Flow;2
Discounted Cash Flow Analysis;1
disease;4
Disease Biology;1
Disease Control;3
Disease Management;2
Disk Encryption;1
Display and Video Advertising Strategy;1
Disruptive Innovation;3
Distinguish the elements of a business model;1
Distributed Algorithm;1
Distributed File Systems;1
Distribution and Logistics;1
Distribution Strategies;1
Diversity and Inclusion;7
Dividend Policy;1
Docker;5
Document Warehouse;1
Documents;2
Dog;3
drone applications;1
Drug And Alcohol Abuse Treatment;1
Dynamic Movement;1
Earnings Management;1
Earth Economics;1
Eclipse (Software);1
E-commerce store optimization;1
Economic Analysis;2
economics of cybersecurity;1
Economy;7
ecosystem-based management;1
Education;14
Educational Entertainment;1
Effective Rehearsal/Performance Planning;1
Effective Training;1
Effective Written Communication;1
Efficient Transportation Systems;1
E-Health;1
Electric Vehicles;7
Electrical Commissioning;1
Electronic Circuits;5
email automation;1
Email marketing analytics;1
Emailing;1
Embedded Memory Systems;1
Embedded System Development;1
emergency/critical care;1
emerging technologies;1
Emotional Engagement;1
Empirical Evidence;1
Employment;5
Encryption techniques;1
Energy Analysis;1
Energy Balance;1
energy efficient building design;1
Energy Level;1
Energy modelling;1
Energy planning;1
Energy solution;1
Energy Systems;3
Energy Systems Principles;1
Energy Transition;1
Energy Yield Simulations;1
Engaging teams;1
Engineering Decision Making;1
Engineering management;6
English Vocabulary;7
Enhanced Oil Recovery;1
Ensure accountability to diversity and inclusion efforts for a sense of belonging;1
Enterprise Search;1
Enterprise security;1
Enterprise System;1
Environmental Economics;3
Environmental Health;1
environmental science;1
Estratégia de e-mail marketing;1
Estratégia de marketing;1
Ethical Awareness;1
Ethical decision-making;1
ethical design and production;1
Ethical Leadership;3
Ethics in cybersecurity;1
Ethics in EHR;1
Evaluate different data collection approaches;1
Evaluating IT Security Risk;1
evaluating research;1
Evaluation;35
Evaluation Design;1
Evidence Synthesis;1
Exam Practice;1
Executing Tests;1
Experience Design;1
Experiment;6
Explain the portfolio performance.;1
Exploratory Data Analysis;11
Explore Design Build;1
Exploring Programming Concepts;1
Extraction, Transformation And Loading (ETL);8
eye conditions;1
Facilitate psychological safety;1
Facilitating group meetings;1
Facilitating Learning;1
Familiarality with computer programming.;1
Familiarity with predictive models;1
Fashion E-Commerce;1
Federal Grants In The United States;1
Feedback;1
Ferramentas de marketing digital;1
fertility;1
Files;2
Film and Televison Writing;1
Finance;51
Financial Modeling;4
Financial Ratio;4
Financial Ratio Analyses & Forecasting Techniques;1
Financial Regulation;1
Financial Statement Use and Analysis;1
Financial Technology;5
Firewall (Computing);1
Fitness And Nutrition;1
Flow control;1
food;1
Food and Dietary Supplement Labels;1
Food Marketing;1
Food Production Economics;1
Food Restrictive Dieting;1
Foreign Portfolio Investment;1
frequent pattern analysis;1
Front-end design;1
Fundamental Programming Concepts;1
Fundamentos de stakeholders;1
Funding Requirement Analysis;1
Game Design;11
Game Engines;1
Game Making;5
Game Programming;1
Game Theory;7
Gaming;1
Gardening for beginners;1
Gender Based Analysis;3
General Statistics;8
Generate Data Protection Regulation (GDPR);1
Genetic Analysis;1
Genetic Counseling;1
Geospatial Data Science;1
Getting and giving group feedback;1
Gis Applications;1
Global Procurement;1
Global Strategy;1
Google Ads;1
Google Analytics;2
Google Cloud;2
Google Cloud Platform;25
Go-to-market Strategy;1
governance;5
Graph Algorithms;4
Graph Database;1
Graphic Arts;1
Graphics;7
Graphs;10
Graphs Algorithms;1
Greater understanding of environmental concerns;1
Green Chemistry;1
Green Design;3
Green Strategy;1
Grid+;1
Growth Strategies;5
growth strategy;1
Hardware planning;1
health;3
health coaching;1
Health Insurance;3
Health Policy;3
Health Policy Analysis;1
health practices;1
Health system analysis;1
healthcare;3
Healthcare Administration;4
Healthcare Quality;2
Healthcare Systems Analysis;1
Healthy Eating;1
Healthy Fat Sources;1
Historical understanding: The course incorporates a rich historical perspective;1
History of Science;1
Hospice;1
Hospital Management;1
Hospitality Management;1
Hospitality Management Studies;1
Housing Operations;1
How to Build a Highly Performing Team;1
How to identify sustainably caught (or farmed) fish and seafood;1
HR Lifecycle;1
HTML and CSS;6
Human Development;1
Human Learning;1
Human-centered coaching;1
Human-centred clinical decision support systems;1
hydrogen atom;1
IBM Power Systems;1
Identify and formulate the research needs;1
Identify basic concepts of innovative entrepreneurship to innovate and create value in the company;1
Identify Capital Resources;1
Identify current vocal behaviors connected to speaking and have techniques to address them.;1
Identify how innovation is linked to the development strategies of organizations;1
Identify moral values;1
Identifying business processes for automation;2
Identifying conflict mindsets;1
Identifying performance goals;1
Identifying the nature of conflict;1
Identity Management (IDM);5
Illustration;1
Image Analysis;5
Image Restoration;1
Image Stitching;1
Image Transformations;1
imagination and creativity;1
Impact Assessment;1
Incident response planning;1
inclusive leadership;1
Increase collaboration by implementing strategies for team performance;1
Industry Analysis;1
Infectious Diseases;8
Influencer Marketing;4
Information Assurance;1
Information Design;1
Information Engineering;16
information ethics;1
Information Science;1
Information Security (INFOSEC);15
Information sharing;1
Information Technology;3
Information Technology Planning;1
Information Theory;1
inheritance (object-oriented programming);1
innovating financing strategy;1
Insights;1
Insurance Verification;1
Integrated Circuit Packaging Materials;1
Integrated Marketing Communications;2
integrative nursing;1
Intellectual Disability Education;1
Intellectual Property Integration;1
Intentional decision-making;1
Interactive Design;1
intercultural relations;1
Interest Rate;4
Interfaces;11
Intermediate level Korean speaking and listening;1
Internal Control;1
International Business Strategy;1
International cultures;1
International Finance;1
International human resources;1
International Logistics;1
International supply chains;1
International transportation;1
Internet;5
Internet Architecture;1
Internet Security;2
Interpretation;8
interpretation of results;1
intervention development;1
Interviewee Skills;1
Inventory and Transportation;1
Inventory costing methods;1
Investment Management;4
Investment management knowledge;1
Investment Strategy;2
Investment Style;1
investment technology;1
Involving students in assessment;1
iOS App Development;9
ISO Approach to Risk Management;1
IT Customer Support;1
Java;15
Javac;1
javascript library;1
Jazz Improvisation;2
job intelligence;1
job interviews;1
Job portfolio;1
Justice;5
Key Performance Indicators (KPIs);1
Knitr;1
Know how to build and gaine genuine trust of customers that leads to lasting business relationships;1
Knowledge Acquisition;1
Knowledge of General Business Functions;1
Korea;1
Korean culture;1
KPIs de marketing digital;2
Label;2
Language;6
Law;17
Lead and develop innovation teams;1
Lead Designers;1
Lead Engineers;1
Lead Management;2
Leading and managing change in organisation;1
Lean Methods;2
Lean Six Sigma;5
Lean Software Development;1
Lean Thinking;1
Learning;6
Learning Engineering;4
Learning How To Learn;3
Learning Models;1
Learning Sciences;3
Lecture;4
Legal Analysis;1
Legal Project Management;1
Leverage the copyright law to your advantage;1
Lexicon;1
Light Curve inspection and analysis;1
Linux On Embedded Systems;1
Liquids;2
List Of Graphical User Interface Elements;1
listening;4
Listening actively for interests;1
Logistic Regression;6
logistics of the organ donation process;1
Machine Learning (ML) Algorithms;12
Machine Learning applied to Finance;1
machine learning fairness;1
machine learning interpretation;1
Machine Learning Model Lifecycle;1
Machine Learning Operations (MLOps);2
Machine Learning Pipelines;1
Machine learning strategy and leadership;1
Machine setup;5
Maintaining individual accountability;1
Manage the development and use of different research instruments;1
Management;57
Management Theory;2
Managing Accounts Receivable and Accounts Payable with Blockchain;1
Managing Containers;1
Managing Jobs and Processes;1
Managing professionals;1
Managing Scarce Resources;1
Managing Workshops;1
Manual Testing;1
Manufacturing Engineer;2
Map;1
Map the financial risks and opportunities of climate change;1
Mapping;6
mapping available resources;1
Market (Economics);10
Market Data;1
Market Impact;1
market insights;1
Market Intelligence;1
Market Segmentation;9
Market Value;1
Marketing Analytics;13
Marketing By Medium;1
Marketing Communications;4
Marketing comportamental;1
Marketing de Performance;2
marketing design;1
Marketing Experiments;1
Marketing Intelligence;2
Marketing Mix Modeling;1
Marketing Optimization;1
Marketing Performance;1
Marketing Performance Measurement And Management;5
Marketing Supply Chain Finance Services;2
Marketing Yourself;1
Material Design;3
Material engineering;1
Materials Planning;1
MATLAB and Python;1
MATLAB programming skills;1
Matrix Algebra;2
Maximizing productive team cultures;1
Measurement;3
Measuring Customer Preferences;1
Mechanical Design;4
Media Market;5
Medical Billing;1
Medical Software;1
Medical Writing;2
Medication;1
Meeting;6
Melody;1
MEMS sensors;1
Mental Health Awareness;1
Mental Health Education;1
Meta Spark;2
Metadata;3
Metasploit استغلال الثغرات البرمجية باستخدام;1
Methodology;5
Microsoft Visual Studio;1
Migration and Innovation;1
Mixing;1
Mobile App;2
Mobile Application Development;1
Mobile Development;5
Mobile Security;1
model evaluation;2
Model Monitoring;1
model tuning;1
Modeling;30
Modeling And Simulation;2
Modelling;1
Money Management;1
Moral reasoning;1
Moral Universe;1
Motion Detection;1
Motivation;6
Motivational Interviewing for nutrition;1
Multiple ways of connecting to cloud networks;1
Multivariate Statistics;1
Music;23
Music Arrangement;1
Music business;3
music career;1
music editing;1
Music Making;1
Music mixing;1
Music production;5
Music recording;3
Music technology;1
Natural Language;1
natural language entity extraction;1
Natural Resources;2
Needs Assessment;2
Negotiation;25
Network Architecture;11
network automation;4
Network Infrastructure;1
Network Management / Troubleshooting;1
Network Security;22
Network Transmissions and Hardware;1
Networking Hardware;1
Neurobiology;4
Neurociencia;1
Neuroscience;2
New Business Development;2
New Product Development;1
New Radio (NR) interface;1
News;1
News Reporting;1
NIST Risk Management Framework;1
No-Code Machine Learning;1
Nonverbal Communication;5
Normalization;1
Novel Writing;1
Nutrition Coaching;9
Occupational guidance;1
Office Processes;1
Office Productivity Software;5
Oil & Gas;1
Omnichannel Marketing;1
Online Advertising;2
online design;3
online identity;1
Open Collaboration;1
open source;1
operaciones de marketing;1
Operations Management;12
Operations Strategy;1
optimal trading;1
Options Strategies;1
organ donation;1
Organic Food;1
Organic vs. Conventionally Farmed;1
Organisational alignment;1
Organization;2
Organization Design;2
Organizational Analysis;1
Organizational Conflict;1
Organizational Culture;12
Organizational Ethics;1
organizational strategy;1
Organizational Theory;2
Otimização de loja de e-commerce;1
Outreach and engagement;1
Pain Management;3
Paper Prototyping;1
parenting;1
parking management;1
Participatory Politics;1
Patient Care;6
patient centered communication;1
Patient Interaction;1
patient-centered care;5
Payment Processing;2
Payment Systems;1
payment technology;1
Payments;1
People Development;2
People Management;6
People Skills;2
Performance evaluation skills for recommender systems;1
Performance Measurement;1
Performance Techniques;1
Personal Advertisement;5
Personal Branding;6
Personal Energy;1
Personal Wellbeing;1
Persuasive leadership;1
Pesquisa de marketing;1
Pharmacy Healthcare Organization Operations;4
place of supply;1
Plan Implementation;2
Planning;44
Plant Biology;2
plant science;1
policy;1
Policy Development;1
Policymaking;1
population health data analytics;1
Portfolio (Finance);1
Portfolio Construction;2
Portfolio Optimization;3
Portfolio Selection;1
Positive Psychology;7
Postproduction;1
Power Management;1
Power Supplies;2
PP&E Accounting;1
PQL;1
Preparation;1
Prepare a detailed sales call plan;1
Preparing an informative lecture;1
Preparing for negotiation;1
Preprocessor;1
Presentation;23
Presentation Design;1
Presentation Skills;3
Pricing Psychology;2
Pricing Stocks;1
Pricing to Competition;1
Principled Negotiation;2
Principles of Finance;1
Print Design;3
Privacy Compliance;1
Privacy Preservation;1
Private Network;1
Probability Distribution;1
Problem Solving;63
Problem-Solving through Collaboration;1
process;1
Process Analysis;2
Process Analytics;1
Process Assessment;1
Process Mining;1
Process State;1
Product analytics;1
Product Cost Analysis;1
product development processes;3
Product Strategies;1
Product Strategy;3
Production;1
Production environments;1
production pipeline;1
Productivity;1
Professional;5
Program Design;1
Program improvement;1
Program Management;6
Programmable Logic Design;2
Programming Interview;1
Programming Principles;11
Project Communication;2
Project Evaluation;1
Project Feasibility;1
project finance;1
Project Risk Management;3
Project Scoping and Design;1
Project Sustainment;1
Project Team;1
Promote effective communication for both individuals and group members;1
Promotion And Marketing Communications;3
Proof Theory;1
Property Evaluation;1
Proportional Hazards Model;2
Prototyp;7
Prove the concept of of efficiency;1
Psychological First Aid;2
Psychological Manipulation;1
Psychosocial Support;3
Public Health and Wellness Healthcare Organization Operations;4
Public Health Interventions;1
Public Policy;2
Public Speaking;11
publications;1
PuppetDB;1
Python* Programming;1
Quality Assessment;1
quantitative research;1
Questioning;1
R Programming;63
Radio Access Network;1
Radiometry;1
Randomized Controlled Trial;1
Rapid assessment;1
Rapid Prototyping;7
Read Legal Documents;1
Read music notation;1
READING;2
Reading a Patent;1
Real life simulations;1
Real-Time Operating System (RTOS);2
real-time tracing;1
Receiving feedback;1
Recording in Studio;1
Recurrent Neural Network;5
Reducing long-term or daily stress;1
Reducing Stigma Around Mental Illness;1
Reducing Stress;1
Reflect on the development of the research proposal;1
Reflexividad;1
reflexividade;1
Reforestation;1
Regression Models;1
Regulations;1
Regulatory Compliance;1
Relational Database (RDBMS);1
Relational Database Concepts;1
Relational Databases;2
Relational Databases (RDBMS);1
Relationship Building;2
Relationships;1
Religion;7
Renewable energy jobs;1
Reports;1
Requirements Analysis;3
Requirements Elicitation;3
Requirements Engineering;1
Research;4
Research Design;3
research evaluation;1
Research for Impact;1
Research Methods;18
respiratory distress;1
Responsive Layouts;1
Resume Screening;1
Retail Management;2
retail strategy;1
Retailing;2
Revenue streams;1
Reverse Proxy;1
Risk Management of Supply Chain Finance;1
risk measurements;1
Risk treatment;1
Rituales;1
robotic process automation;3
Routing Protocol;1
Ruby On Rails;2
Sales;17
Sales Agreements;1
Sales And Operations Planning;2
Sales Development;4
Sales Enablement;1
sales engagement;1
Sales Management;1
Sales Operations;5
Sales Process Engineering;1
Sample Preparation;2
sampling;2
Sampling Audio;1
sampling statistics;1
SAP Platform;1
SAP workloads Administrators;1
SAS Studio;4
SAS Visual Analytics;1
Satellite;1
satellite imagery;1
Scaled Agile Framework;1
Scheduling (Computing);2
Scheduling Algorithms;2
Science;2
Science Communication;3
Science Writing;1
Scope (Project Management);6
scripting;2
Search Advertising;1
Search Algorithm;3
Search Engine Marketing;3
search marketing;1
security;8
Security Analysis;1
Security Audits;1
Security Design;1
Security Hardening;1
Security Modes;3
Security Response;1
Security Services;1
Security Software;1
Security Testing;1
Select Queries;1
Selection;1
self-awareness;3
Self-Management;1
Self-Motivation;1
Self-organizing teams;2
Self-Reflection;5
Semiconductor Packaging Assembly Process;1
Sensor architecture;1
Sensor manufacturing;1
Sequential Pattern Mining;1
Servant Leadership;2
Service-Oriented Architecture;1
Setting Objectives;1
Setting up your Development Environment;1
Sexual Health;1
Short Story Writing;1
Simple Algorithm;1
simple model for market dynamics;1
Site inspection;1
Six Sigma;6
Sketch;1
Skill Practice;1
Skills Management;5
Social Business;1
social determinants of health;2
Social justice and race;1
Social Marketing;5
Social Media Analytics;1
Social Media Metrics;1
Social Media Mining;1
Social Network;11
Social Networking;1
Social Psychology;3
Society;1
Software;3
Software Application Development;1
Software Development;8
Software Development Process;3
software modeling;2
Software Product Management;3
Software Requirements;3
Solar Cell Manufacturing;1
Solar economics;1
Solution Architecture;2
Sound Processing;1
Sound Synthesis;1
Sound-based computer programming;1
SparkML;3
Spatial Analysis;9
Spatial Databases;1
Speech;13
Speechwriting;1
Spiritual Distress;1
Sports;6
Sports Marketing;3
Spring Boot;1
Spring Configuration Techniques;1
Spring Data;1
Spring Framework;2
SQL Overview;1
stakeholder communication;1
Stakeholder Engagement;1
Stakeholder Management;7
Stakeholder-Management;2
Statistical Model;4
Stock;5
Stock Management;2
Storage encryption;1
stormwater management;1
Strategic Analysis;4
Strategic Leadership;4
Strategic Mindset;1
Strategic Negotiations;1
Strategic Pricing;1
strategy;37
Strategy Development;2
Strategy Formulation;1
Strategy Implementation;3
Strategy Interview;1
Streams;4
Stress;1
Stress Management;4
Strings;2
Style Sheets;1
Summary Statistics;2
supply planning;1
Sustainable Business;2
Sustainable Innovation;1
Sustainable Leadership;1
System Administration;2
system debugging;1
System Dynamics;1
System Programming;1
System Tests;1
Systems Architecture;1
Systems Design;1
Systems Engineering;3
Systems Monitoring;1
Tailoring communications;1
Talent Acquisition Training;2
Talent Management;3
Targeting your audience;1
task automation;1
Task Management;1
Taxes;2
Teaching;16
teaching reluctant writers;1
Team Management;26
team work;1
Teams;2
Technical Literacy;1
technologies impacting cybersecurity;1
technology;9
telehealth;1
Tencent Cloud Products;1
terms;1
Terrorism Studies;1
Test Case;2
Test Taking;1
Text Mining;2
The ability to utilize strengthening mechanisms in metals for technological applications;1
The importance of entrepreneurial culture in the organization;1
The Solar Resource;1
Thematic mapping;1
theories;1
Thermoelectric;1
Thinking creatively on your own;1
Thread (Computing);1
threat analysis;1
Threats to cybersecurity;1
Ticketing Systems;1
Time Series Forecasting;2
Tobacco control;1
Tour Planning;1
Trade Finance Management;1
Trade Marketing;3
Trade-Off;1
Trading in Financial Markets;1
Trading Strategy;1
Traffic Analysis;1
Traffic Processing;1
Training And Development;1
Transparency;1
Trauma rehabilitation;1
Trend Analysis;2
trial and error;1
Trial Design;1
Trigonometric Integral;6
Trust in relationships;1
معرفة Business & Accounting Analysis;1
UI Component Design;1
Understand consumer insights from social media messages;1
Understand how demographics are used to segment the market;1
Understand how lithium-ion battery cells work;1
Understand how marketing will become more automated and integrated through supply chain linkage;1
Understand how the digital transformation of marketing is taking place;1
Understand the fundamentals of the sales process;1
Understand the power of corporate culture;1
Understand the purpose and importance of developing a team culture;1
Understand the research process;1
Understand what different stakeholders value in your organization;1
Understand why good marketing requires good for the company & customer;1
Understand why market segmentation is important;1
Understanding Revenue Cycles;1
Understanding smart contract risk;1
Underwriting;5
Unit Testing;13
unsupervised machine learning;1
Urban design;1
Urban research;1
US History;4
Usability-Tests;3
Use qualitative and quantitative research methodologies;1
User Interface Automation;1
User Interface Techniques;2
User-Centered Design (Create basic visualizations that match data and user needs);1
Using Databases and Interacting with Web Sites;1
using R;1
Using SQL queries;1
Valuation;1
Valuation (Finance);3
Value-Based Pricing;2
Variable Pricing;1
ventilator management;1
Video Game Design;5
Video Game Development;10
Video Games;1
Video Post-Production;1
Video Production;5
Viral Marketing;2
virtual coaching;1
Virtual model design;1
virtualization;1
Vision Objects;1
Vision systems;1
Visual Analytics;4
Visual Arts;1
Visual Studio Code;1
visualization;3
Vocal Health;1
Voice;1
Voltage and current sensors;1
Water;1
water security;1
Web;7
Web Accessibility;1
Web Application;11
Web application firewall;1
Web Design;9
Web Development;22
Web Development Tools;2
Web Search;1
web-based training;1
Weight Management;1
wellbeing;5
Wellbeing Promotion;1
Well-being Promotion;1
Wind Energy Engineering;1
Wind Power;2
Windows Programming;1
word processing;1
work management;1
Working Principles of a Camera;1
Workplace Communication;1
Workplace Inclusion;1
Zoning Strategies;1
0,8-0,9;2754
.Net;1
2. Understand how to effectively link corporate social responsibility and social causes;1
3d computer graphics;4
A basic understanding of epidemiological theory;1
"•	Agiles Management";1
"•	Coaching";1
Accelerated Depreciation;1
Accessibility;2
Accounting Cycle;2
accounting software;1
Accounting Terminology;2
Accounts Payable Management;1
Accounts Receivable Management;1
Acting;1
Adding Animation;1
Advanced Machine Learning;1
Advertising;12
Advertising Campaign;7
Advertising Strategy;3
Advocacy;1
Aerospace;1
agile;4
Agile Management;7
agile product management;1
Agronegocios;1
Air Quality Monitoring;1
Ajax (Programming);1
Analog Circuit Design;1
Analog hardware;1
Analysis of Algorithms;3
Analyze Financial Statements;1
Ancient Greece;1
Angularjs;10
animations;1
Application Design;1
Application development;15
Applied Machine Learning;2
Applying an ethical framework;1
Aquaculture Engineering;1
Artificial Intelligence (AI);49
Asp.Net Core;2
ASP.NET Fundamentals;2
Assembling a successful team;1
Assembly Methods;1
assessment;1
Astrobiology;4
Audio Editing;1
Audio Production;2
Audio Recording;3
Automated Planning And Scheduling;1
Automated Testing;1
backlog management;1
Backup;2
Balance Sheet;10
Banking;1
Basis Of Accounting;1
battery types;5
Beer Quality Systems;1
behavioral psychology;1
blockchain as a business solution;1
Blockchain Technology Implementation;1
Bookkeeping;1
Brand Identity;2
Brand Identity and Management;1
Brand Management;16
breathing;1
Budget;15
budget management;1
Build a data model;1
Build Automation;1
Building recommender systems based on collaborative filtering;1
Building Relationships;1
Building Teams;1
business acumen;1
Business analysis skills and knowledge;1
Business Analytics;27
Business Case;9
Business Case Analysis;1
Business Communication;14
Business development;2
Business Ethics;1
Business Forecasting;2
Business Intelligence (BI);1
Business Marketing;1
Business model innovation;1
Business Modeling;8
Business Modelling;2
Business Process Design;1
Business Process Mapping;1
Business Processes and Requirements;1
Business strategies;1
C# object-oriented programming;1
C/C++;3
CAM;1
Camera Model;1
Cancer;6
Cancer Stem Cells;1
Career;2
Cash Flow;7
causes of death;1
Ceramics;1
Child Care;1
Child Psychology;1
Chinese Language;4
Circuit Design;3
Cleaning;1
Climate Change;10
clinical assessment;1
clinical decision support systems;1
Clinical Research;5
Clinical Trial Management;1
Cloud;7
Cloud Applications;13
Cloud Architecture;1
Cloud Computing;99
Cloud Computing Architecture;1
Cloud Computing Security;16
cloud connected systems;1
Cloud Data Solutions;1
Cloud Development;1
Cloud Infrastructure;11
Cloud Management;7
cloud networking;1
Cloud Networks;1
Cloud Platforms;13
Cloud Services;3
Coaching;17
COBOL Structure;1
Code of Ethics;1
Cognitive Science;2
Collaborative Strategies;1
Communication & Collaboration;1
Communication Skills;2
Communication Theory;1
Community Health;5
Competition;1
Competitive Analysis;4
complementary therapies;1
Compliance;6
Compliance techniques;1
Computer Programming Tools;2
computer science fundamentals;1
Concurrent Computing;1
Confidence;4
Configuration Management;3
conservation;6
Conservation Science;1
Constitution;1
Construction methodology;1
Consulting;5
Contact Tracing;2
Containers;6
Content Creation;6
Content Development;1
content management;2
Contingency Plan;1
Contract Management;3
Contract Negotiations;1
Contracts;2
Copyright;2
Copyright Protection;2
Corporate entrepreneurship as a strategy for organizational growth and development;1
Cost Accounting;2
Creating sensible and delightful desserts;1
Credit Card Debt;1
Credit Rating;1
credit risk;1
Criminal Justice;3
Cultural Awareness;2
Curriculum Development;1
Customer;2
Customer Engagement and Exploration;1
Customer Experience;12
Customer feedback analysis;1
Customer Readiness;1
Customer Relationship Management (CRM);8
Customer Satisfaction;2
cyber attack;1
Cyber Attacks;1
Cyber Security Planning;1
Cyberattacks;4
Cybersecurity;31
Cybersecurity Concepts;1
Cybersecurity Management;1
Cybersecurity Solutions;1
Cybersecurity strategies;1
Cybersecurity terminology;1
cybersecurity threats;2
Data Analysis;178
Data Cleansing (Pembersihan Data);1
Data Cleansing and Exploration;1
Data Collection;10
Data Modeling;5
Data Processing;4
Data Security;15
Database (DB) Design;5
database administration;7
Database Application;1
Database basics;1
Database security basics;1
Debt;1
Debugging;20
Decentralized Applications;1
deep learning and validation;1
De-escalation;2
Define leadership;1
Demand Forecasting;2
Design;2
Design concepts;2
Design for manufacturing;1
Design Management;1
design of embedded systems;1
design research;1
design technique;1
Design Theory;2
Designing a Stress Test;1
Designing a Supply Chain Finance Program;1
Design-thinking;1
Develop your leadership philosophy;1
Dialogue;2
Digital Analytics;2
Digital Collaboration;1
Digital Forensics;1
Digital Preservation;1
Digitizing;1
diplomacy;1
diplomatic relations;1
Disaster Recovery;3
Disease Surveillance;2
Distinguish the principles of innovation and explain innovation management;1
Dividend Yield;1
Dividends;5
Drones;1
Drug Development;3
ear anatomy;1
Ear Training;1
E-Commerce Strategy;2
ecosystems and ecosystem services;1
Effective Communication;8
Electrical Protection and Equipments;1
Electricity systems;1
Electronic Digital Instrument;1
Electronic Health Records;1
Elementary Algebra;1
Elementary Mathematics;1
Email Marketing;1
Email marketing strategy;1
Embedded System Design;2
Embedded Systems Engineering;1
emergency;1
Emergency Management;4
Emotional Strength;1
Empathy and Compassion;1
Energy Economics;1
Engineering;11
Engineering Design;5
Entrepreneurial Finance;1
Environment management;1
Environmental Data Analysis;1
Environmental Impacts;1
Environmental Law;1
Environmental Monitoring;1
Environmental Protection;8
Environmental Studies;2
Environmental Systems;1
escalation;1
Estratégia de e-commerce;1
Estratégia de marketing digital;1
Estratégias de marketing digital;2
Ethics in Healthcare;1
Ethics Of Artificial Intelligence;7
Event Management;1
evidence-based practice;3
Evidence-Based Practices;1
Evolution;8
exercise;2
explainable machine learning models;1
Export and Import;1
Familiarise with the essentials of market research;1
Field Surveys;1
Film;1
Filming;1
Filmmaking;1
Financial Accounting;15
Financial Aid Management;1
Financial Ratio Analysis;1
Financial reports analysis;1
Financial Risk;3
Financial Risk Modeling;1
Financial Services;1
Financial Statement;23
financial statement analysis;2
Financial Terminology;1
Financing your education;1
firewalls;2
Food Portioning and Portion Control;1
Food Production;1
Food Production Technology;1
Food Systems;1
Forecasting;5
Forecasting Trends;1
Foreign Currency Risk Management;1
foreign language;1
Foreign Policy;2
forensics;2
Forestry;1
Fraud Investigation;1
Front-End Web Development;11
Funding Applications;1
Fundraising;4
Future Forecasting;2
Generally Accepted Accounting Principles (Gaap);1
Geological Methods;1
Geophysical Data;1
Geospatial Information System;1
Global Marketing;4
Good clinical practice;1
good ethical practices;1
Graphon;1
Greek Mythology;2
Green Technology;1
hardware;3
Health Care;8
Health Communication;1
health system;4
Healthcare Innovation;2
Healthcare Leadership;1
Healthcare Management;4
Helpdesk;2
Hotel Management;2
